iter	RMSE
0	16.44407491
1	16.27947904
2	16.14417909
3	15.98749687
4	15.84361225
5	15.70183607
6	15.57852207
7	15.45427478
8	15.34722558
9	15.2357318
10	15.13164202
11	15.01992382
12	14.9297382
13	14.81977598
14	14.72326987
15	14.64126132
16	14.54514442
17	14.46847503
18	14.38805509
19	14.31370732
20	14.24400204
21	14.16531429
22	14.09265481
23	14.02730555
24	13.97008277
25	13.91672307
26	13.85613596
27	13.80205113
28	13.74865989
29	13.69890477
30	13.64783298
31	13.60036475
32	13.55914882
33	13.51100267
34	13.46706351
35	13.43153584
36	13.39596703
37	13.3597503
38	13.31998267
39	13.28308526
40	13.24635266
41	13.20748747
42	13.17137981
43	13.1377142
44	13.10655495
45	13.07614274
46	13.04547026
47	13.02117676
48	12.99329586
49	12.96307795
50	12.93608209
51	12.91248763
52	12.8884577
53	12.86559
54	12.84412148
55	12.82531656
56	12.80442718
57	12.78379143
58	12.76201321
59	12.74337162
60	12.72142723
61	12.70398813
62	12.69010643
63	12.67233516
64	12.65756237
65	12.63803635
66	12.62283284
67	12.60850202
68	12.59329221
69	12.58074606
70	12.5624393
71	12.54358518
72	12.52429593
73	12.51262714
74	12.49600884
75	12.48259291
76	12.47298727
77	12.45946165
78	12.44631887
79	12.43076823
80	12.41877126
81	12.40696377
82	12.39471041
83	12.3816779
84	12.36713148
85	12.35398143
86	12.33929656
87	12.32968662
88	12.3161567
89	12.30177477
90	12.29079138
91	12.2809575
92	12.2716875
93	12.26332414
94	12.25303899
95	12.2441719
96	12.23267939
97	12.22368672
98	12.21370901
99	12.20367046
