iter	Passed	Remaining
0	4	485
1	6	308
2	7	247
3	9	217
4	11	216
5	14	233
6	19	253
7	21	248
8	25	260
9	28	259
10	30	248
11	33	243
12	37	252
13	40	250
14	48	273
15	50	265
16	52	257
17	55	250
18	57	245
19	60	240
20	66	250
21	73	259
22	78	262
23	81	258
24	88	265
25	90	257
26	93	252
27	95	246
28	100	244
29	104	243
30	111	248
31	179	381
32	187	381
33	217	422
34	224	417
35	227	404
36	229	390
37	232	379
38	234	367
39	236	355
40	239	344
41	241	333
42	243	322
43	245	311
44	246	301
45	249	292
46	251	283
47	253	274
48	256	266
49	259	259
50	265	255
51	280	258
52	283	251
53	288	246
54	295	241
55	302	237
56	305	230
57	308	223
58	316	219
59	321	214
60	326	208
61	331	202
62	334	196
63	338	190
64	341	183
65	344	177
66	346	170
67	349	164
68	351	157
69	353	151
70	356	145
71	358	139
72	362	134
73	364	128
74	366	122
75	368	116
76	371	110
77	373	105
78	377	100
79	380	95
80	383	89
81	385	84
82	387	79
83	389	74
84	392	69
85	395	64
86	397	59
87	399	54
88	403	49
89	406	45
90	408	40
91	409	35
92	412	31
93	413	26
94	415	21
95	417	17
96	419	12
97	427	8
98	431	4
99	436	0
