Team,Missing_Usage_Pct,Missing_Net_Rating,Missing_PIE,Missing_Minutes_Pct,Injured_Players_Count
Atlanta Dream,32.0,-77.78,0.709,7.8,2
Chicago Sky,72.7,-524.46,9.784,41.9,3
Connecticut Sun,73.5,-601.18,8.566,33.1,4
Dallas Wings,36.0,-337.78,3.25,8.55,2
Golden State Valkyries,44.7,336.73,5.808,24.45,2
Indiana Fever,35.4,-199.15,0.524,6.75,3
Las Vegas Aces,33.0,-93.28,1.405,10.9,3
Los Angeles Sparks,0.0,0.0,0.0,0.0,0
Minnesota Lynx,33.5,-263.31,1.7,13.25,2
New York Liberty,39.9,309.3,3.809,22.95,2
Phoenix Mercury,21.4,18.18,1.576,10.1,1
Portland Fire,22.0,-213.4,2.698,14.05,2
Seattle Storm,21.1,-150.93,-0.039,1.95,1
Toronto Tempo,59.0,-394.98,7.261,30.55,3
Washington Mystics,0.0,0.0,0.0,0.1,1
